x_mm y_mm
0.000000 0.000000
1.498630 2.573921
2.997260 3.767952
4.495891 4.767474
5.994521 5.456794
7.493151 6.116668
8.991781 6.703320
10.490411 7.176912
11.989041 7.647641
13.487672 8.110110
14.986302 8.532008
16.484932 8.920753
17.983562 9.309576
19.482192 9.698512
20.980822 10.074408
22.479453 10.433143
23.978083 10.786950
25.476713 11.140757
26.975343 11.494631
28.473973 11.845467
29.972604 12.188745
31.471234 12.528667
32.969864 12.868589
34.468494 13.208511
35.967124 13.548433
37.465754 13.886167
38.964385 14.214866
40.463015 14.540116
41.961645 14.865367
43.460275 15.190618
44.958905 15.515868
46.457536 15.841119
47.956166 16.162106
49.454796 16.464371
50.953426 16.761696
52.452056 17.059022
53.950686 17.356348
55.449317 17.653673
56.947947 17.950999
58.446577 18.248325
59.945207 18.536939
61.443837 18.795833
62.942467 19.049926
64.441098 19.304020
65.939728 19.558114
67.438358 19.812208
68.936988 20.066302
70.435618 20.320397
71.934249 20.574491
73.432879 20.810287
74.931509 21.026518
76.430139 21.241007
77.928769 21.455495
79.427399 21.669984
80.926030 21.884472
82.424660 22.098961
83.923290 22.313449
85.421920 22.527938
86.920550 22.735175
88.419181 22.917878
89.917811 23.099114
91.416441 23.280350
92.915071 23.461587
94.413701 23.642823
95.912331 23.824059
97.410962 24.005296
98.909592 24.186532
100.408222 24.367769
101.906852 24.535362
103.405482 24.689030
104.904112 24.842058
106.402743 24.995087
107.901373 25.148115
109.400003 25.301143
110.898633 25.454171
112.397263 25.607199
113.895894 25.760228
115.394524 25.913256
116.893154 26.056246
118.391784 26.185988
119.890414 26.315005
121.389044 26.444023
122.887675 26.573041
124.386305 26.702059
125.884935 26.831077
127.383565 26.960095
128.882195 27.089113
130.380825 27.218131
131.879456 27.344441
133.378086 27.454496
134.876716 27.563189
136.375346 27.671882
137.873976 27.780576
139.372607 27.889269
140.871237 27.997963
142.369867 28.106656
143.868497 28.215350
145.367127 28.324043
146.865757 28.432737
148.364388 28.530353
149.863018 28.622431
151.361648 28.713943
152.860278 28.805456
154.358908 28.896968
155.857539 28.988480
157.356169 29.079993
158.854799 29.171505
160.353429 29.263017
161.852059 29.354530
163.350689 29.442298
164.849320 29.521199
166.347950 29.598395
167.846580 29.675591
169.345210 29.752788
170.843840 29.829984
172.342470 29.907181
173.841101 29.984377
175.339731 30.061573
176.838361 30.138770
178.336991 30.215892
179.835621 30.283040
181.334252 30.347130
182.832882 30.411221
184.331512 30.475312
185.830142 30.539404
187.328772 30.603495
188.827402 30.667586
190.326033 30.731678
191.824663 30.795769
193.323293 30.859861
194.821923 30.917112
196.320553 30.970837
197.819184 31.024329
199.317814 31.077822
200.816444 31.131315
202.315074 31.184807
203.813704 31.238300
205.312334 31.291792
206.810965 31.345285
208.309595 31.397601
209.808225 31.444074
211.306855 31.487340
212.805485 31.530606
214.304115 31.573872
215.802746 31.617138
217.301376 31.660404
218.800006 31.703670
220.298636 31.746936
221.797266 31.790202
223.295897 31.829366
224.794527 31.864484
226.293157 31.899136
227.791787 31.933788
229.290417 31.968440
230.789047 32.003092
232.287678 32.037744
233.786308 32.072396
235.284938 32.106519
236.783568 32.136521
238.282198 32.162319
239.780829 32.188118
241.279459 32.213917
242.778089 32.239716
244.276719 32.265516
245.775349 32.291315
247.273979 32.317071
248.772610 32.340077
250.271240 32.358632
251.769870 32.377188
253.268500 32.395745
254.767130 32.414301
256.265760 32.432857
257.764391 32.451413
259.263021 32.468509
260.761651 32.481427
262.260281 32.492349
263.758911 32.503271
265.257542 32.514192
266.756172 32.525114
268.254802 32.535945
269.753432 32.545097
271.252062 32.549527
272.750692 32.553957
274.249323 32.558387
275.747953 32.562818
277.246583 32.566895
278.745213 32.568688
280.243843 32.567498
281.742473 32.566309
283.241104 32.565120
284.739734 32.563581
286.238364 32.559064
287.736994 32.552878
289.235624 32.546691
290.734255 32.540279
292.232885 32.530467
293.731515 32.520184
295.230145 32.509309
296.728775 32.496019
298.227405 32.483180
