x_mm y_mm
276.456172 18.107159
274.953693 17.748358
273.451214 17.389557
271.948735 17.030887
270.446256 16.674590
268.943776 16.323354
267.441297 15.972124
265.938818 15.620894
264.436339 15.269664
262.933860 14.918434
261.431380 14.568679
259.928901 14.222955
258.426422 13.879592
256.923943 13.536230
255.421464 13.192867
253.918984 12.849504
252.416505 12.506142
250.914026 12.163444
249.411547 11.824739
247.909068 11.489862
246.406588 11.154987
244.904109 10.820111
243.401630 10.485236
241.899151 10.150361
240.396672 9.815486
238.894192 9.481116
237.391713 9.151544
235.889234 8.825690
234.386755 8.499847
232.884276 8.174004
231.381796 7.848161
229.879317 7.522318
228.376838 7.196476
226.874359 6.870633
225.371880 6.547266
223.869400 6.229343
222.366921 5.913688
220.864442 5.598033
219.361963 5.282379
217.859484 4.966724
216.357004 4.651069
214.854525 4.335414
213.352046 4.019759
211.849567 3.705082
210.347088 3.397329
208.844608 3.092060
207.342129 2.786802
205.839650 2.481545
204.337171 2.176287
202.834692 1.871029
201.332212 1.565771
199.829733 1.260514
198.327254 0.955256
196.824775 0.654136
195.322296 0.359659
193.819816 0.066407
192.317337 -0.226845
190.814858 -0.520097
189.312379 -0.813349
187.809900 -1.106601
186.307420 -1.399853
184.804941 -1.693105
183.302462 -1.986357
181.799983 -2.274803
180.297504 -2.554911
178.795024 -2.834267
177.292545 -3.113622
175.790066 -3.392977
174.287587 -3.672333
172.785108 -3.951688
171.282629 -4.231043
169.780149 -4.510399
168.277670 -4.789754
166.775191 -5.067266
165.272712 -5.330913
163.770233 -5.594391
162.267753 -5.857870
160.765274 -6.121348
159.262795 -6.384826
157.760316 -6.648304
156.257837 -6.911783
154.755357 -7.175261
153.252878 -7.438739
151.750399 -7.701305
150.247920 -7.951230
148.745441 -8.196568
147.242961 -8.441905
145.740482 -8.687243
144.238003 -8.932580
142.735524 -9.177917
141.233045 -9.423255
139.730565 -9.668592
138.228086 -9.913930
136.725607 -10.158269
135.223128 -10.394166
133.720649 -10.617751
132.218169 -10.841281
130.715690 -11.064811
129.213211 -11.288341
127.710732 -11.511871
126.208253 -11.735402
124.705773 -11.958932
123.203294 -12.182462
121.700815 -12.405663
120.198336 -12.622969
118.695857 -12.821574
117.193377 -13.019994
115.690898 -13.218414
114.188419 -13.416834
112.685940 -13.615254
111.183461 -13.813674
109.680981 -14.012094
108.178502 -14.210514
106.676023 -14.408818
105.173544 -14.599968
103.671065 -14.768832
102.168585 -14.937461
100.666106 -15.106090
99.163627 -15.274719
97.661148 -15.443348
96.158669 -15.611976
94.656189 -15.780605
93.153710 -15.949234
91.651231 -16.115296
90.148752 -16.267587
88.646273 -16.401689
87.143793 -16.535668
85.641314 -16.669647
84.138835 -16.803626
82.636356 -16.937606
81.133877 -17.071585
79.631397 -17.205564
78.128918 -17.339416
76.626439 -17.462457
75.123960 -17.556033
73.621481 -17.649293
72.119001 -17.742553
70.616522 -17.835813
69.114043 -17.929073
67.611564 -18.022333
66.109085 -18.115593
64.606605 -18.205455
63.104126 -18.275865
61.601647 -18.318107
60.099168 -18.360185
58.596689 -18.402263
57.094210 -18.444341
55.591730 -18.486420
54.089251 -18.528498
52.586772 -18.569786
51.084293 -18.590962
49.581814 -18.548301
48.079334 -18.505549
46.576855 -18.462797
45.074376 -18.420044
43.571897 -18.377292
42.069418 -18.334540
40.566938 -18.285510
39.064459 -18.189834
37.561980 -18.024616
36.059501 -17.859398
34.557022 -17.694180
33.054542 -17.528962
31.552063 -17.363733
30.049584 -17.195631
28.547105 -16.969059
27.044626 -16.645969
25.542146 -16.322880
24.039667 -15.999790
22.537188 -15.676488
21.034709 -15.352732
19.532230 -14.966657
18.029750 -14.460443
16.527271 -13.938393
15.024792 -13.415345
13.522313 -12.891791
12.019834 -12.284564
10.517354 -11.541252
9.014875 -10.748874
7.512396 -9.955285
6.009917 -8.997196
4.507438 -7.838975
3.004958 -6.506505
1.502479 -4.201357
