x_mm y_mm
283.323355 9.018926
284.830394 8.875705
286.337433 8.732394
287.844472 8.585705
289.351511 8.437024
290.858550 8.288342
292.365589 8.139603
293.872628 7.986998
295.379668 7.833871
296.886707 7.680137
298.393746 7.523715
299.900785 7.367792
299.900785 6.548853
298.393746 6.253761
296.886707 5.958216
295.379668 5.665234
293.872628 5.372740
292.365589 5.081020
290.858550 4.792860
289.351511 4.504701
287.844472 4.216651
286.337433 3.931165
284.830394 3.648820
283.323355 3.366476
281.816315 3.084131
280.309276 2.802062
278.802237 2.524233
277.295198 2.248024
275.788159 1.971814
274.281120 1.695605
272.774081 1.419434
271.267042 1.144307
269.760003 0.875720
268.252963 0.607147
266.745924 0.338573
265.238885 0.069999
263.731846 -0.198574
262.224807 -0.466709
260.717768 -0.730718
259.210729 -0.991339
257.703690 -1.251959
256.196650 -1.512580
254.689611 -1.773201
253.182572 -2.033821
251.675533 -2.294246
250.168494 -2.552416
248.661455 -2.804471
247.154416 -3.056522
245.647377 -3.308574
244.140337 -3.560626
242.633298 -3.812677
241.126259 -4.064729
239.619220 -4.316631
238.112181 -4.566427
236.605142 -4.809372
235.098103 -5.052281
233.591064 -5.295190
232.084025 -5.538098
230.576985 -5.781007
229.069946 -6.023915
227.562907 -6.266824
226.055868 -6.508999
224.548829 -6.746751
223.041790 -6.979361
221.534751 -7.211972
220.027712 -7.444582
218.520672 -7.677193
217.013633 -7.909803
215.506594 -8.142414
213.999555 -8.375024
212.492516 -8.607346
210.985477 -8.836636
209.478438 -9.058762
207.971399 -9.280833
206.464359 -9.502904
204.957320 -9.724975
203.450281 -9.947045
201.943242 -10.169116
200.436203 -10.391187
198.929164 -10.613257
197.422125 -10.834102
195.915086 -11.049360
194.408046 -11.259270
192.901007 -11.469179
191.393968 -11.679089
189.886929 -11.888998
188.379890 -12.098908
186.872851 -12.308818
185.365812 -12.518727
183.858773 -12.728637
182.351734 -12.937125
180.844694 -13.139347
179.337655 -13.335156
177.830616 -13.530963
176.323577 -13.726770
174.816538 -13.922577
173.309499 -14.118384
171.802460 -14.314192
170.295421 -14.509999
168.788381 -14.705806
167.281342 -14.901067
165.774303 -15.090860
164.267264 -15.270667
162.760225 -15.450355
161.253186 -15.630043
159.746147 -15.809731
158.239108 -15.989419
156.732068 -16.169107
155.225029 -16.348795
153.717990 -16.528483
152.210951 -16.708171
150.703912 -16.883659
149.196873 -17.048422
147.689834 -17.209658
146.182795 -17.370893
144.675756 -17.532129
143.168716 -17.693364
141.661677 -17.854600
140.154638 -18.015835
138.647599 -18.177070
137.140560 -18.338306
135.633521 -18.497039
134.126482 -18.645879
132.619443 -18.784979
131.112403 -18.924006
129.605364 -19.063033
128.098325 -19.202061
126.591286 -19.341088
125.084247 -19.480115
123.577208 -19.619143
122.070169 -19.758170
120.563130 -19.896580
119.056090 -20.025567
117.549051 -20.139225
116.042012 -20.252629
114.534973 -20.366032
113.027934 -20.479435
111.520895 -20.592839
110.013856 -20.706242
108.506817 -20.819645
106.999778 -20.933049
105.492738 -21.046268
103.985699 -21.148437
102.478660 -21.231721
100.971621 -21.314669
99.464582 -21.397616
97.957543 -21.480564
96.450504 -21.563511
94.943465 -21.646458
93.436425 -21.729406
91.929386 -21.812353
90.422347 -21.891537
88.915308 -21.955021
87.408269 -22.002637
85.901230 -22.050073
84.394191 -22.097510
82.887152 -22.144946
81.380112 -22.192383
79.873073 -22.239820
78.366034 -22.287256
76.858995 -22.334509
75.351956 -22.366304
73.844917 -22.372353
72.337878 -22.377939
70.830839 -22.383524
69.323800 -22.389109
67.816760 -22.394694
66.309721 -22.400279
64.802682 -22.405864
63.295643 -22.406356
61.788604 -22.383956
60.281565 -22.337099
58.774526 -22.290004
57.267487 -22.242910
55.760447 -22.195815
54.253408 -22.148721
52.746369 -22.101627
51.239330 -22.053202
49.732291 -21.972624
48.225252 -21.838566
46.718213 -21.704378
45.211174 -21.570191
43.704134 -21.436004
42.197095 -21.301817
40.690056 -21.167629
39.183017 -21.018871
37.675978 -20.813722
36.168939 -20.553203
34.661900 -20.292684
33.154861 -20.032165
31.647822 -19.771647
30.140782 -19.511027
28.633743 -19.231463
27.126704 -18.878575
25.619665 -18.453535
24.112626 -18.028495
22.605587 -17.603344
21.098548 -17.177673
19.591509 -16.732097
18.084469 -16.198156
16.577430 -15.562677
15.070391 -14.926664
13.563352 -14.288799
12.056313 -13.624114
10.549274 -12.830615
9.042235 -11.904620
7.535196 -10.973546
6.028156 -9.989055
4.521117 -8.702030
3.014078 -7.251804
1.507039 -5.219985
