x_mm y_mm
0.000000 0.000000
1.496016 2.076074
2.992031 3.117912
4.488047 4.005433
5.984062 4.609407
7.480078 5.200407
8.976093 5.728319
10.472109 6.149582
11.968125 6.577716
13.464140 7.003424
14.960156 7.392922
16.456171 7.749014
17.952187 8.109251
19.448203 8.476419
20.944218 8.834781
22.440234 9.176513
23.936249 9.513126
25.432265 9.849738
26.928280 10.189970
28.424296 10.532676
29.920312 10.870156
31.416327 11.204041
32.912343 11.537926
34.408358 11.871810
35.904374 12.205695
37.400389 12.540982
38.896405 12.871843
40.392421 13.199806
41.888436 13.527769
43.384452 13.855732
44.880467 14.183695
46.376483 14.511658
47.872498 14.835906
49.368514 15.147144
50.864530 15.454150
52.360545 15.761218
53.856561 16.068286
55.352576 16.375354
56.848592 16.682422
58.344608 16.989490
59.840623 17.288890
61.336639 17.563332
62.832654 17.832751
64.328670 18.102335
65.824685 18.371920
67.320701 18.641504
68.816717 18.911089
70.312732 19.180673
71.808748 19.450258
73.304763 19.703609
74.800779 19.940625
76.296794 20.175450
77.792810 20.410280
79.288826 20.645110
80.784841 20.879940
82.280857 21.114769
83.776872 21.349599
85.272888 21.584429
86.768903 21.812790
88.264919 22.020198
89.760935 22.225793
91.256950 22.431453
92.752966 22.637112
94.248981 22.842772
95.744997 23.048432
97.241013 23.254091
98.737028 23.459751
100.233044 23.665410
101.729059 23.858845
103.225075 24.040761
104.721090 24.221682
106.217106 24.402607
107.713122 24.583531
109.209137 24.764455
110.705153 24.945380
112.201168 25.126304
113.697184 25.307228
115.193199 25.488153
116.689215 25.660052
118.185231 25.820856
119.681246 25.980691
121.177262 26.140536
122.673277 26.300381
124.169293 26.460226
125.665308 26.620071
127.161324 26.779916
128.657340 26.939761
130.153355 27.099606
131.649371 27.257011
133.145386 27.400387
134.641402 27.542360
136.137418 27.684388
137.633433 27.826415
139.129449 27.968443
140.625464 28.110471
142.121480 28.252498
143.617495 28.394526
145.113511 28.536553
146.609527 28.678581
148.105542 28.810839
149.601558 28.938339
151.097573 29.065281
152.593589 29.192224
154.089604 29.319167
155.585620 29.446110
157.081636 29.573053
158.577651 29.699996
160.073667 29.826939
161.569682 29.953882
163.065698 30.077436
164.561714 30.193456
166.057729 30.307848
167.553745 30.422264
169.049760 30.536679
170.545776 30.651095
172.041791 30.765510
173.537807 30.879926
175.033823 30.994341
176.529838 31.108757
178.025854 31.223105
179.521869 31.328770
181.017885 31.431591
182.513900 31.534498
184.009916 31.637404
185.505932 31.740311
187.001947 31.843218
188.497963 31.946125
189.993978 32.049032
191.489994 32.151939
192.986009 32.254845
194.482025 32.351809
195.978041 32.445585
197.474056 32.539227
198.970072 32.632870
200.466087 32.726512
201.962103 32.820155
203.458119 32.913797
204.954134 33.007440
206.450150 33.101082
207.946165 33.193655
209.442181 33.281169
210.938196 33.365766
212.434212 33.450398
213.930228 33.535029
215.426243 33.619661
216.922259 33.704292
218.418274 33.788924
219.914290 33.873556
221.410305 33.958187
222.906321 34.039273
224.402337 34.116737
225.898352 34.193862
227.394368 34.270986
228.890383 34.348111
230.386399 34.425235
231.882414 34.502359
233.378430 34.579484
234.874446 34.656126
236.370461 34.729187
237.866477 34.798478
239.362492 34.867801
240.858508 34.937124
242.354524 35.006447
243.850539 35.075770
245.346555 35.145094
246.842570 35.214378
248.338586 35.281298
249.834601 35.344244
251.330617 35.407248
252.826633 35.470252
254.322648 35.533257
255.818664 35.596261
257.314679 35.659265
258.810695 35.721000
260.306710 35.779009
261.802726 35.835288
263.298742 35.891568
264.794757 35.947847
266.290773 36.004127
267.786788 36.060323
269.282804 36.115067
270.778819 36.165656
272.274835 36.216269
273.770851 36.266881
275.266866 36.317494
276.762882 36.367800
278.258897 36.416084
279.754913 36.461762
281.250929 36.507440
282.746944 36.553119
284.242960 36.598497
285.738975 36.641253
287.234991 36.682564
288.731006 36.723875
290.227022 36.764992
291.723038 36.803105
293.219053 36.840814
294.715069 36.877997
296.211084 36.913050
297.707100 36.948500
